standard_brand,url,views,engagement
EMINA,https://www.instagram.com/p/DI2UGZ2zeaS,6611,161
EMINA,https://www.tiktok.com/@kentangmekdanel/video/7475666604794203397,643,34
EMINA,https://www.instagram.com/p/DJIVpVVy66Q,6629,172
EMINA,https://www.tiktok.com/@adistyhecaa/video/7477935102501145862,23600,171
EMINA,https://www.tiktok.com/@pasmingbased/video/7460832088951016712,241600,5715
EMINA,https://www.tiktok.com/@bukancecil/video/7473849296178236727,41200,2060
EMINA,https://www.tiktok.com/@maggieeameliaa/video/7522405273256856840,292500,4896
EMINA,https://www.tiktok.com/@m0ody17/video/7480150880239488261,245700,20119
EMINA,https://www.tiktok.com/@tomoyama3_2/video/7477829155078376721,138800,7551
EMINA,https://www.tiktok.com/@wynnneug/video/7474567778599456016,371700,13763
EMINA,https://www.instagram.com/p/DLFFlTJSE6f,13593,190
EMINA,https://www.tiktok.com/@shahrinz/video/7516867307822435592,592100,14703
EMINA,https://www.tiktok.com/@archivebyniel/video/7465662118453431559,133700,6478
EMINA,https://www.tiktok.com/@c_asti/video/7469735386378505477,2353,103
EMINA,https://www.instagram.com/p/DItGlMVS6u5,6483,50
EMINA,https://www.tiktok.com/@delvinyauu/video/7531365512052362503,104400,3564
EMINA,https://www.tiktok.com/@alizafrd_/video/7470857678559006007,43700,1262
EMINA,https://www.tiktok.com/@andrewxbarrett/video/7480148790796700933,126900,3434
EMINA,https://www.tiktok.com/@mawardjongh/video/7524559154040638726,35100,1444
EMINA,https://www.tiktok.com/@valeryverhey/video/7532094461153709368,1800000,163248
EMINA,https://www.tiktok.com/@dunialiliput/video/7465423016894352648,17500,139
EMINA,https://www.tiktok.com/@ochaaafj/video/7534728239688764690,22700,217
EMINA,https://www.tiktok.com/@richelleweisz/video/7472726985815477509,107800,1463
EMINA,https://www.tiktok.com/@imn0t.yours/video/7480448581711809797,1663,138
EMINA,https://www.instagram.com/p/DLDExi2z8Ox,12370,72
EMINA,https://www.youtube.com/watch?v=BpbGjbqWWt4,6012,161
EMINA,https://www.tiktok.com/@janeabys/video/7530668097880001848,62600,7871
EMINA,https://www.tiktok.com/@clarissaciell/video/7530980693451541816,73700,1801
EMINA,https://www.tiktok.com/@khansaassaa/video/7532866158295338246,93700,1300
EMINA,https://www.tiktok.com/@naomiivosas/video/7467171046815272200,704900,98796
EMINA,https://www.instagram.com/p/DMh6eIByvQO,15474,398
EMINA,https://www.youtube.com/watch?v=oYZJJNoFyn4,9305,316
EMINA,https://www.instagram.com/p/DI-rPSCShPp,6338,41
EMINA,https://www.tiktok.com/@lutfi_afansyah/video/7500915197176073478,127800,11022
EMINA,https://www.tiktok.com/@barbieeeeeez/video/7534619187918949650,51000,4058
EMINA,https://www.tiktok.com/@meeiiya/video/7464959908455140626,30100,4255
EMINA,https://www.youtube.com/watch?v=_o9qgnv2uZY,3589,118
EMINA,https://www.tiktok.com/@inidivyy/video/7533494707293359416,65200,4363
EMINA,https://www.tiktok.com/@larasdew1/video/7496722133243186450,74700,1167
EMINA,https://www.tiktok.com/@assegafpangestu5/video/7467828673987480837,100900,7979
EMINA,https://www.tiktok.com/@najwaafakhr/video/7530298568318504197,9046,219
EMINA,https://www.tiktok.com/@keyott/video/7533489655820406023,8078,38
EMINA,https://www.instagram.com/p/DKLSYdVSVCF,9209,70
EMINA,https://www.instagram.com/p/DJyAHJSzYMN,153765,3753
EMINA,https://www.tiktok.com/@sadampermana.w/video/7460108315507313926,600600,91684
